gc,p50,p99,p999,p9999
G1 1.3x,0.43106,0.8639675099999999,1.0771657740000087,1.2247398197999986
Shen. 1.3x,0.125837,0.3498942199999999,2.2197945640000256,3.0176390205999515
Shen. 7/8 1.3x,0.192121,0.5837124400000004,3.6971111280000004,4.1791480007999455
LXR 1.3x,0.8646735000000001,1.4387001199999998,1.7869818150000234,2.8671273694996695
Shen. 10x,0.226617,0.6121497499999998,0.754190540000086,0.8754504543999532
